,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,PAINS_alert,BRENK_alert,NIH_alert,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,PAINS_alert_drugbank_approved_percentile,BRENK_alert_drugbank_approved_percentile,NIH_alert_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,Molecule_Name
COc1cc(-c2cc(=O)c3c(O)cc(O)c(OC)c3o2)ccc1O,330.29200000000003,2.5940000000000007,7,3,4.0,0.6768622802504395,0,109.36000000000001,0,0,0,0.37006626,0.14276733,0.67819965,0.9025167,0.6729049,0.077497385,0.6409925,0.024237482,0.20993814,0.379509,0.6010261,0.0736648,0.066516235,0.94705904,0.9997053,0.030169243,0.07084125,0.91019756,0.34121472,0.3896373,0.58743286,0.053859092,0.85319614,0.51308715,0.87244236,0.34829187,0.25341445,0.9764222,0.47684616,0.75777334,0.4587245,-4.972371,70.13013,45.978523,-8.278133,-14.825086,2.555265,2.309977,98.31809,-4.0743904,0.25281137,49.13884007029878,54.376098418277685,79.85940246045695,78.20738137082601,63.44463971880493,71.21265377855889,22.601054481546576,73.28646748681899,47.59226713532514,25.869947275922673,37.188049209138846,67.31107205623903,10.298769771528999,30.36906854130053,94.97363796133568,91.03690685413007,30.158172231985944,93.67311072056239,19.929701230228474,71.81019332161688,44.25307557117751,85.65905096660809,23.09314586994728,39.5079086115993,90.01757469244289,66.74868189806679,75.46572934973639,85.83479789103691,99.19156414762743,93.95430579964851,96.87170474516697,96.83655536028121,80.94903339191565,57.9261862917399,78.34797891036908,98.59402460456943,97.50439367311073,94.0597539543058,99.92970123022847,95.78207381370827,79.68365553602813,60.52724077328647,47.6274165202109,74.76274165202109,65.97539543057997,9.490333919156416,36.16871704745167,56.8365553602812,67.59226713532514,85.51845342706504,30.720562390158175,37.46924428822496,Compound 26084
CC(C)=CCc1c(O)c(O)c(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,356.37400000000014,3.7242000000000024,6,4,4.0,0.49308976526186427,1,107.22,1,2,1,0.3917083,0.11417119,0.65840083,0.5447692,0.4095387,0.11931081,0.4284851,0.039092273,0.14270833,0.46017495,0.34036818,0.121661864,0.08625503,0.785401,0.991251,0.02964719,0.04705545,0.412059,0.23089881,0.39514026,0.5272796,0.091903545,0.6136905,0.3199233,0.6417681,0.23708124,0.25225362,0.84852993,0.40537018,0.70930254,0.44114524,-5.4499207,55.473274,44.775013,-22.10642,-17.10566,2.8189323,2.336235,98.16012,-4.006273,0.6939645,54.86818980667839,72.79437609841828,72.46045694200352,86.90685413005274,63.44463971880493,45.377855887521974,55.32513181019333,72.2847100175747,97.39894551845343,87.9261862917399,83.09314586994728,69.45518453427066,8.576449912126538,27.94376098418278,82.1792618629174,81.51142355008788,45.026362038664324,87.06502636203867,26.045694200351495,66.46748681898067,51.35325131810194,76.27416520210897,37.53954305799649,46.81898066783832,71.24780316344464,40.421792618629176,75.04393673110721,74.83304042179263,90.86115992970124,88.43585237258348,96.94200351493849,95.88752196836556,86.88927943760984,38.87521968365554,69.701230228471,91.493848857645,95.18453427065027,94.0597539543058,97.75043936731107,94.13005272407733,73.98945518453428,59.824253075571185,25.06151142355009,67.45166959578208,65.20210896309315,1.6520210896309315,25.166959578207383,72.86467486818981,67.83831282952549,85.16695957820738,32.337434094903344,42.49560632688928,Compound 28553
COc1c(O)c(OC)c2c3c(cc4cccc(O)c42)N=C(O)c13,311.29300000000006,3.3711000000000015,5,3,4.0,0.6311061909762021,0,91.51,0,1,0,0.6243247,0.17611034,0.61231804,0.910885,0.27454957,0.06610967,0.32105064,0.025395881,0.06520828,0.3820509,0.1579471,0.1550729,0.060171526,0.9749845,0.99844325,0.084070876,0.054427434,0.90209866,0.16399656,0.27355623,0.37144405,0.10980413,0.874963,0.33573923,0.9004634,0.29099244,0.20313935,0.9506582,0.51425856,0.8968276,0.30659157,-5.031251,42.925953,16.442806,24.40047,-14.198637,1.9028229,0.72535694,92.00949,-3.5142593,-0.61272347,44.04217926186292,66.85413005272409,61.880492091388405,78.20738137082601,63.44463971880493,64.28822495606327,22.601054481546576,62.35500878734623,47.59226713532514,66.52021089630932,37.188049209138846,87.48681898066785,12.02108963093146,23.550087873462218,95.2548330404218,72.19683655536029,26.818980667838314,82.03866432337435,20.70298769771529,53.35676625659051,44.42882249560633,64.3585237258348,46.99472759226714,36.37961335676626,94.69244288224957,52.40773286467487,89.20913884007031,79.47275922671353,99.15641476274166,83.16344463971882,95.07908611599298,93.28646748681899,89.13884007029878,60.84358523725835,70.43936731107206,99.05096660808437,96.48506151142355,92.091388400703,99.40246045694201,96.55536028119509,94.76274165202109,50.896309314587,43.62038664323375,59.08611599297013,40.597539543058,63.33919156414763,40.07029876977153,19.156414762741655,41.93321616871705,72.75922671353251,41.792618629173994,29.560632688927946,Compound 25804
C=C1c2ccc3c(c2CC[C@@H]1O)C(=O)C(=O)c1c(C)coc1-3,294.306,2.954320000000001,4,1,4.0,0.758504467929426,1,67.50999999999999,2,1,0,0.7685909,0.4665862,0.62395,0.8332674,0.3676013,0.11788162,0.3779034,0.07097628,0.16561617,0.56487066,0.34946492,0.1756325,0.10523901,0.9367136,0.99798584,0.25380927,0.09366773,0.68880093,0.28069168,0.2272013,0.29939443,0.23370835,0.9064059,0.49310988,0.88536805,0.37153897,0.35860273,0.876289,0.591684,0.89410985,0.41203418,-4.5028353,14.907428,22.156895,79.01672,-11.947774,3.669768,2.7169795,93.622,-5.0443535,3.7715316,38.62917398945519,60.52724077328647,48.55887521968366,36.59050966608085,63.44463971880493,83.40949033391917,55.32513181019333,45.026362038664324,99.77152899824254,66.52021089630932,37.188049209138846,94.0597539543058,30.36906854130053,24.60456942003515,92.16168717047452,78.87521968365554,44.147627416520216,85.02636203866433,37.961335676625666,68.96309314586995,63.16344463971881,76.66080843585237,53.00527240773287,51.9859402460457,88.33040421792619,50.36906854130053,93.77855887521969,90.22847100175748,96.80140597539544,91.10720562390159,94.09490333919157,90.54481546572936,95.53602811950792,66.74868189806679,77.5395430579965,98.73462214411249,97.89103690685414,96.80140597539544,98.27768014059755,97.89103690685414,94.62214411247804,58.13708260105449,81.65202108963094,31.212653778558877,46.81898066783832,91.70474516695958,55.39543057996485,96.3444639718805,74.72759226713534,75.88752196836556,13.673110720562391,67.76801405975397,Compound 26970
O=C1C(O)=Cc2cccc3ccc(-c4ccc(O)c(O)c4)c1c23,304.30100000000004,4.013200000000002,4,3,4.0,0.5934813172666906,0,77.76,1,1,0,0.76896423,0.13268635,0.52316743,0.9672825,0.3154066,0.044250987,0.34411433,0.02523784,0.23629716,0.38704595,0.42128307,0.13345966,0.07955785,0.91674757,0.99909127,0.17723611,0.08138313,0.9195069,0.27495694,0.49221784,0.46639243,0.11833705,0.86498624,0.24745312,0.9579997,0.39907235,0.39864254,0.9716717,0.67509997,0.95726556,0.46104258,-5.2143483,46.188416,19.597507,23.251823,-16.308228,2.3213317,2.1071591,97.207466,-4.138677,-1.6761612,41.86291739894552,77.29349736379613,48.55887521968366,78.20738137082601,63.44463971880493,59.191564147627425,22.601054481546576,52.53075571177505,97.39894551845343,66.52021089630932,37.188049209138846,94.09490333919157,9.666080843585238,18.312829525483306,97.99648506151144,75.2548330404218,20.70298769771529,83.40949033391917,20.597539543057998,73.49736379613357,44.81546572934974,79.68365553602813,41.15992970123023,43.971880492091394,85.13181019332163,57.08260105448155,92.72407732864676,88.18980667838314,99.29701230228471,90.86115992970124,97.71528998242532,94.93848857644993,89.84182776801407,59.613356766256594,65.37785588752197,99.75395430579965,98.17223198594026,97.39894551845343,99.82425307557119,98.84007029876977,98.6291739894552,60.52724077328647,35.114235500878735,61.05448154657294,44.53427065026362,61.968365553602816,28.014059753954307,42.108963093145874,64.2530755711775,83.47978910369069,29.384885764499124,20.281195079086118,Compound 28296
COc1ccc2c(c1)-c1cc(CO)ccc1C(C)(C)O2,270.328,3.482000000000002,3,1,4.0,0.9076064503332949,0,38.69,0,0,0,0.55448073,0.92271805,0.88391364,0.9720128,0.89038676,0.14919524,0.29144207,0.32465115,0.56707335,0.59641963,0.6426263,0.06491362,0.09298192,0.59564984,0.9999939,0.00752384,0.032090146,0.639042,0.31403658,0.05756863,0.23079267,0.013744323,0.9485378,0.53336346,0.3261239,0.07250363,0.11812655,0.49236235,0.09634128,0.6218877,0.7846948,-4.5449433,95.198395,69.30946,25.976276,-8.11903,2.3782623,3.1920466,92.351746,-4.187514,4.1440687,32.23198594024605,68.99824253075572,32.653778558875224,36.59050966608085,63.44463971880493,99.5079086115993,22.601054481546576,21.423550087873465,47.59226713532514,25.869947275922673,37.188049209138846,83.2688927943761,72.40773286467487,73.00527240773287,98.31282952548331,96.90685413005274,55.53602811950791,80.597539543058,78.45342706502637,86.95957820738138,67.38137082601055,86.67838312829527,20.562390158172235,48.787346221441126,60.281195079086125,93.00527240773287,39.40246045694201,59.367311072056246,95.74692442882251,92.72407732864676,78.38312829525483,86.0456942003515,62.91739894551846,78.03163444639719,79.05096660808437,72.54833040421794,81.65202108963094,86.25659050966608,87.5219683655536,72.58347978910369,63.374340949033396,77.9261862917399,78.31282952548331,86.22144112478033,80.49209138840071,65.30755711775045,83.19859402460457,45.58875219683656,82.84710017574693,73.32161687170475,28.330404217926187,70.08787346221442,Compound 25014
C/C(=C\Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)CC2=O)CO,372.37300000000016,2.6966000000000014,7,5,4.0,0.412310428935504,1,127.45,1,2,1,0.37538666,0.10034654,0.50387925,0.65386957,0.36742616,0.060483497,0.43407387,0.028130228,0.28738216,0.359433,0.5286232,0.086159006,0.119625285,0.6249757,0.98119795,0.043879446,0.06520386,0.48092622,0.17314747,0.32831183,0.36257583,0.036234073,0.4749443,0.08667768,0.6113718,0.21674459,0.19982,0.70920336,0.32680982,0.691385,0.40944475,-5.722955,66.40878,51.597443,-25.57882,-20.122854,2.4733813,1.8693621,91.04735,-3.4936738,2.9509304,59.12126537785589,56.379613356766264,79.85940246045695,91.493848857645,63.44463971880493,34.44639718804921,55.32513181019333,81.01933216168717,97.39894551845343,87.9261862917399,83.09314586994728,67.83831282952549,7.697715289982426,17.152899824253076,85.94024604569421,78.87521968365554,25.342706502636204,87.27592267135326,21.968365553602816,76.4499121265378,42.35500878734622,83.58523725834799,26.29173989455185,55.71177504393673,61.792618629173994,36.37961335676626,81.75746924428823,84.04217926186293,92.54833040421794,84.07732864674868,95.95782073813709,93.14586994727593,75.78207381370827,33.04042179261863,51.247803163444644,90.19332161687171,94.23550087873463,91.9859402460457,93.88400702987698,91.52899824253076,71.8804920913884,58.03163444639719,18.875219683655537,73.25131810193322,69.84182776801407,0.9841827768014061,16.906854130052725,52.30228471001758,59.613356766256594,71.31810193321617,42.24956063268893,62.49560632688929,Compound 25054
O=C1N=C(Nc2ccccc2)N/C1=C\c1ccc2c(c1)OCO2,307.3090000000001,2.3541,5,2,4.0,0.833388763679159,0,71.95,0,1,0,0.33833277,0.7728368,0.86127746,0.9341935,0.76469654,0.21354708,0.5964529,0.20507221,0.60509646,0.6146623,0.777073,0.16362461,0.31430432,0.86432,0.99989116,0.023515383,0.046408366,0.84758294,0.26278853,0.054618835,0.22240135,0.034621995,0.92443305,0.61522657,0.57121444,0.19385575,0.1145312,0.6310771,0.24092999,0.4351322,0.8387772,-4.827318,33.221405,30.709173,34.896152,-13.110327,2.794792,3.0300248,99.24962,-5.3454194,-2.8079545,42.70650263620387,49.8066783831283,61.880492091388405,61.37082601054482,63.44463971880493,93.28646748681899,22.601054481546576,47.732864674868196,47.59226713532514,66.52021089630932,37.188049209138846,64.2530755711775,54.6572934973638,66.08084358523726,96.37961335676627,93.67311072056239,72.75922671353251,92.72407732864676,68.50615114235501,87.87346221441126,69.27943760984184,90.4042179261863,49.84182776801406,80.52724077328648,78.10193321616872,73.39191564147627,70.12302284710019,74.41124780316345,98.69947275922672,90.36906854130054,77.15289982425308,85.5536028119508,75.1493848857645,70.7908611599297,81.86291739894553,88.08435852372584,93.53251318101934,85.86994727592268,91.9859402460457,87.41652021089632,38.55887521968366,82.07381370826012,57.15289982425308,51.564147627416524,54.93848857644992,72.26713532513182,47.31107205623902,71.52899824253076,80.03514938488577,87.34622144112478,10.087873462214413,11.107205623901583,135398522
COc1cc(-c2cc(=O)c3ccc4occc4c3o2)cc2c1OCO2,336.2990000000001,3.943500000000002,6,0,4.0,0.5519740046023324,0,71.04,0,0,0,0.63063765,0.7369262,0.77593297,0.98402154,0.88224524,0.083025396,0.54180413,0.07828889,0.6880702,0.43759042,0.93554336,0.11329857,0.1517596,0.94781303,0.999987,0.047107987,0.100332595,0.96297663,0.58221924,0.12550221,0.34705004,0.06973216,0.9043093,0.8381916,0.84174216,0.3779828,0.38302866,0.78450197,0.43736124,0.6114918,0.79679215,-4.566724,63.46681,53.949272,96.49563,-9.243115,3.1916234,3.2001908,99.95626,-5.507947,4.696876,50.57996485061512,76.4499121265378,72.46045694200352,11.63444639718805,63.44463971880493,53.95430579964851,22.601054481546576,47.34622144112478,47.59226713532514,25.869947275922673,37.188049209138846,87.90861159929702,51.77504393673111,46.010544815465735,98.66432337434095,96.76625659050967,31.810193321616875,91.24780316344464,40.77328646748682,89.87697715289983,49.13884007029878,96.20386643233745,34.41124780316345,62.14411247803164,90.19332161687171,88.8224956063269,82.95254833040423,91.24780316344464,99.7188049209139,98.45342706502637,88.89279437609842,92.68892794376099,84.18277680140598,66.25659050966608,91.03690685413007,98.13708260105449,98.03163444639719,97.18804920913885,96.20386643233745,94.83304042179263,62.49560632688929,78.73462214411248,76.66080843585237,71.73989455184535,71.52899824253076,93.88400702987698,75.53602811950792,88.04920913884008,82.95254833040423,88.92794376098419,8.435852372583481,72.89982425307558,Compound 28832
CC(C)=CCc1c(O)c(C)c(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,354.4020000000001,4.327020000000003,5,3,4.0,0.7144029529391458,1,86.99000000000001,0,1,1,0.2601152,0.12791772,0.67511666,0.63023967,0.5824155,0.15518099,0.55663645,0.041158758,0.1628689,0.49791923,0.34399486,0.11950173,0.050973147,0.78357506,0.99820536,0.026722502,0.030800706,0.38141996,0.32871732,0.5300127,0.66340446,0.14876959,0.7133564,0.46931323,0.73177725,0.21726742,0.38475245,0.94137174,0.51731324,0.7113913,0.47178084,-4.963126,86.36562,86.20631,1.7605797,-13.632257,3.0808563,3.7810292,103.05422,-5.0751877,2.6031685,54.44639718804921,81.75746924428823,61.880492091388405,78.20738137082601,63.44463971880493,77.08260105448156,55.32513181019333,59.40246045694201,47.59226713532514,66.52021089630932,83.09314586994728,55.71177504393673,9.52548330404218,30.052724077328648,85.13181019332163,88.15465729349737,57.82073813708261,91.63444639718806,27.275922671353253,68.68189806678383,55.71177504393673,76.41476274165203,36.90685413005273,32.58347978910369,71.14235500878735,51.3884007029877,72.72407732864676,57.71528998242531,89.77152899824254,93.49736379613357,98.10193321616873,97.5395430579965,92.16168717047452,44.71001757469244,76.62565905096662,94.72759226713534,94.2706502636204,97.18804920913885,99.22671353251319,96.62565905096662,74.1652021089631,61.08963093145871,48.01405975395431,82.56590509666081,86.46748681898067,24.99121265377856,43.93673110720563,85.27240773286468,92.26713532513182,93.67311072056239,13.321616871704746,59.648506151142364,Compound 30036
